10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
tking,,,01BRAND_INST___CC12400,Department of English,Current Internal,Associate Professor of English,Associate Professor
tlam,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
tmbrown,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
tmitch,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
toddchapin,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
tohall,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
tompkins,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,Associate Professor; Director of Institute on Healthcare Systems,Associate Professor
tonishapiro,,,01BRAND_INST___CC27900,"Creativity, the Arts, and Social Transformation Program",Current Internal,,Associate Professor
tqueler,,,01BRAND_INST___CC27700,Graduate Program in Genetic Counseling,Current Internal,,
tracigreen,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
troen,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,"Karl, Harry and Helen Stoll Professor of Israel Studies, Emeritus",Professor Emeritus/a
tsekourakis,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,Associate Professor of Computer Science,Associate Professor
tshapiro,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor
tsipis,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Professor Emerita of Biology; Director of the Master's Degree Program in Genetic Counseling.,Professor Emeritus/a
tslocz,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Assistant Professor
tslocz,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Assistant Professor
tsouza,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,Lecturer
tstreet,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,Associate Professor
tstreet,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,Associate Professor
ttoth,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
turrigia,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Joseph Levitan Professor of Vision Science,Professor
turrigia,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,Joseph Levitan Professor of Vision Science,Professor
tuttle,,,01BRAND_INST___CC16500,Department of Chemistry,Current Internal,,Professor Emeritus/a
uanjaria,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
uanjaria,,,01BRAND_INST___CC18320,South Asian Studies Program,Current Internal,,
ungerlei,,,01BRAND_INST___CC27300,"Peace, Conflict, and Coexistence Studies Program",Current Internal,,Lecturer
unglaub,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,Associate Professor of Fine Arts,Associate Professor
unglaub,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,Associate Professor of Fine Arts,Associate Professor
unglaub,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,Associate Professor of Fine Arts,Associate Professor
unglaub,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,Associate Professor of Fine Arts,Associate Professor
urcid,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,Jane's Chair Professor of Latin American Studies,Professor
valakh,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
vanhoosr,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,Associate Professor of Biology,Associate Professor
vanhoosr,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,Associate Professor of Biology,Associate Professor
vanhoosr,,,01BRAND_INST___CC27200,Neuroscience Program,Current Internal,Associate Professor of Biology,Associate Professor
vanmoerb,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,Professor Emeritus of Mathematics,Professor Emeritus/a
vayntrub,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,, Adjunct Assistant Professor
vchaudhry,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
voiret,,,01BRAND_INST___CC12500,Department of Romance Studies,Current Internal,,Assistant Professor
vonmerin,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Professor
vonmerin,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Professor
vonmerin,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,Professor
vsmedile,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
wangh,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
wardle,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,Professor
wardwell,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,Associate Professor of Painting,
warrenschwartz,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Lecturer
watson,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Professor Emeritus/a
wcadge,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,
wcadge,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
wchalmus,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,
weiw,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
wellner,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Lecturer
wellner,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,Lecturer
westover,,,01BRAND_INST___CC16100,Department of Biochemistry,Current Internal,,Assistant Professor
white,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
willrich,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Professor
willrich,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Professor
willrich,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,Professor
wilmes,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,Assistant Professor
wilmes,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Assistant Professor
wingfiel,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
wkapelle,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
wkapelle,,,01BRAND_INST___CC26600,Interdepartmental Program in Italian Studies,Current Internal,,
wkapelle,,,01BRAND_INST___CC27100,Medieval and Renaissance Studies Program,Current Internal,,
wmuigai,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
wmuigai,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
wmuigai,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,
wodinsky,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,Professor Emeritus/a
woll,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,Professor Emeritus/a
wooden,,,01BRAND_INST___CC11400,Department of Theater Arts,Current Internal,,Assistant Professor
woodruff,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Assistant Professor
wright,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,Professor
wrogers,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
wuzengcn,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal, Associate Research Professor at the Schneider Institutes for Health Policy,
xinghang,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,
xinghang,,,01BRAND_INST___CC18500,Department of History,Current Internal,,Associate Professor
xiwenlu,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
xixiran,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
xji,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
xji,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
xliu0806,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,,
xuen,,,01BRAND_INST___CC16600,Michtom School of Computer Science,Current Internal,,Associate Professor
xuen,,,01BRAND_INST___CC25200,Benjamin and Mae Volen National Center for Complex Systems,Current Internal,,Associate Professor
xuen,,,01BRAND_INST___CC26900,Linguistics and Computational Linguistics,Current Internal,,Associate Professor
xumsimon,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Lecturer
xvidalberastain,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Instructor
yack,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Professor
yack,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
yangs,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Assistant Professor
ychang,,,01BRAND_INST___CC11200,Department of Music,Current Internal,,
yfeng,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,
ylbecker,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
yourgrau,,,01BRAND_INST___CC12300,Department of Philosophy,Current Internal,,Professor
yourgrau,,,01BRAND_INST___CC25800,Interdepartmental Program in European Cultural Studies,Current Internal,,Professor
ypark,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
yukimi,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Senior Lecturer
yuridoolan,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
yuridoolan,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
zalbert,,,01BRAND_INST___CC18600,Department of Politics,Current Internal,,
zalipsco,,,01BRAND_INST___CC12450,University Writing Program,Current Internal,,Lecturer
zalipsco,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
zdogic,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
zebrowit,,,01BRAND_INST___CC18700,Department of Psychology,Current Internal,Manuel Yellen Professor of Social Relations,Professor
zeitlin,,,01BRAND_INST___CC18300,Department of Anthropology,Current Internal,,Professor Emeritus/a
zhaojiezhang,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,Instructor
zhenw,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Lecturer
ztreimer,,,01BRAND_INST___CC25000,Education Program,Current Internal,"Jack, Joseph and Morton Mandel Assistant Professor of Jewish Education",Associate Professor
,,,01BRAND_INST___CC18800,Department of Sociology,Current Internal,,Associate Professor
,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,Associate Professor
,,,01BRAND_INST___CC25700,Environmental Studies Program,Current Internal,,
,,,01BRAND_INST___CC26100,"Health: Science, Society, and Policy Program",Current Internal,,Associate Professor
,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Associate Professor
,,,,,,,
,,,,,,,
Primary Identifier,,,Affiliation Unit Code,Affiliation Unit Name,Affiliation Unit Type,Affiliation Position Title,Affiliation Position
